,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Visitor Miles,Home Miles
5544,2016-02-26,8:30p,Denver Nuggets,116,Dallas Mavericks,122,OT,American Airlines Center,1992.6964723321487,0.0
5545,2016-02-26,10:00p,Los Angeles Clippers,117,Sacramento Kings,107,None,Sleep Train Arena,581.6399730428296,0.0
5546,2016-02-26,10:30p,Memphis Grizzlies,112,Los Angeles Lakers,95,None,STAPLES Center,2576.8238126069714,2576.8238126069714
5547,2016-02-27,3:00p,Miami Heat,89,Boston Celtics,101,None,TD Garden,2023.6341857400523,0.0
5548,2016-02-27,7:00p,Minnesota Timberwolves,112,New Orleans Pelicans,110,None,Smoothie King Center,1792.9355450486207,0.0
5549,2016-02-27,8:00p,Portland Trail Blazers,103,Chicago Bulls,95,None,United Center,2819.0729381477017,947.9424176694803
5550,2016-02-27,8:00p,San Antonio Spurs,104,Houston Rockets,94,None,Toyota Center,1932.1145321848035,2952.2415844494203
5551,2016-02-27,8:30p,Detroit Pistons,102,Milwaukee Bucks,91,None,BMO Harris Bradley Center,404.9363596503264,1376.9967448414625
5552,2016-02-27,8:30p,Golden State Warriors,121,Oklahoma City Thunder,118,OT,Chesapeake Energy Arena,1701.798418398534,926.5927758337733
5553,2016-02-27,9:30p,Memphis Grizzlies,106,Phoenix Suns,111,None,Talking Stick Resort Arena,576.6307756724622,0.0
5554,2016-02-27,9:30p,Brooklyn Nets,98,Utah Jazz,96,None,Vivint Smart Home Arena,814.3082955764366,0.0
5555,2016-02-28,1:00p,Cleveland Cavaliers,99,Washington Wizards,113,None,Verizon Center,563.258114910255,194.10551601585877
5556,2016-02-28,3:30p,Charlotte Hornets,76,Atlanta Hawks,87,None,Philips Arena,686.0579069501066,0.0
5557,2016-02-28,6:00p,Toronto Raptors,101,Detroit Pistons,114,None,The Palace of Auburn Hills,332.19366550770116,404.9363596503264
5558,2016-02-28,6:00p,Portland Trail Blazers,111,Indiana Pacers,102,None,Bankers Life Fieldhouse,267.850235260918,0.0
5559,2016-02-28,6:00p,Philadelphia 76ers,116,Orlando Magic,130,None,Amway Center,1385.5470359010678,1515.4668134005067
5560,2016-02-28,7:00p,Minnesota Timberwolves,101,Dallas Mavericks,128,None,American Airlines Center,712.4456363798192,0.0
5561,2016-02-28,7:30p,Miami Heat,98,New York Knicks,81,None,Madison Square Garden (IV),302.8269357799009,0.0
5562,2016-02-29,7:00p,Indiana Pacers,96,Cleveland Cavaliers,100,None,Quicken Loans Arena,423.3599045954914,490.4262711934011
5563,2016-02-29,7:00p,Philadelphia 76ers,108,Washington Wizards,116,None,Verizon Center,1220.0715534390997,0.0
5564,2016-02-29,7:30p,Utah Jazz,95,Boston Celtics,100,None,TD Garden,3369.3831037881973,0.0
5565,2016-02-29,8:00p,Houston Rockets,121,Milwaukee Bucks,128,None,BMO Harris Bradley Center,1619.7806556089733,0.0
5566,2016-02-29,9:00p,Memphis Grizzlies,103,Denver Nuggets,96,None,Pepsi Center,942.0879126577364,1066.1565415377668
5567,2016-02-29,10:00p,Oklahoma City Thunder,131,Sacramento Kings,116,None,Sleep Train Arena,2151.063867247017,0.0
5568,2016-02-29,10:30p,Brooklyn Nets,95,Los Angeles Clippers,105,None,STAPLES Center,935.0094062976216,581.6399730428296
5569,2016-03-01,7:00p,Phoenix Suns,92,Charlotte Hornets,126,None,Time Warner Cable Arena,2862.7443119027866,364.5440925264182
5570,2016-03-01,7:30p,Chicago Bulls,111,Miami Heat,129,None,AmericanAirlines Arena,1917.211036119281,1760.1289875089205
5571,2016-03-01,7:30p,Portland Trail Blazers,104,New York Knicks,85,None,Madison Square Garden (IV),1037.1018074789702,0.0
5572,2016-03-01,8:30p,Orlando Magic,108,Dallas Mavericks,121,None,American Airlines Center,1547.5630092294198,0.0
5573,2016-03-01,10:30p,Atlanta Hawks,105,Golden State Warriors,109,OT,Oracle Arena,3417.139019488706,2211.8404024598826
