,Date,Start (ET),Visitor,Visitor Points,Home,Home Points,OT,Arena,Year,Latitude,Longitude
160,2012-01-13,7:00p,Indiana Pacers,95,Toronto Raptors,90,None,Air Canada Centre,2012,43.644° N,79.379° W
161,2012-01-13,8:00p,Chicago Bulls,88,Boston Celtics,79,None,TD Garden,2012,42.366° N,71.062° W
162,2012-01-13,8:00p,Sacramento Kings,89,Houston Rockets,103,None,Toyota Center,2012,29.751° N,95.362° W
163,2012-01-13,8:00p,Minnesota Timberwolves,87,New Orleans Hornets,80,None,New Orleans Arena,2012,34.043° N,118.267° W
164,2012-01-13,8:30p,Milwaukee Bucks,76,Dallas Mavericks,102,None,American Airlines Center,2012,32.791° N,96.81° W
165,2012-01-13,8:30p,Portland Trail Blazers,83,San Antonio Spurs,99,None,AT&T Center,2012,29.427° N,98.438° W
166,2012-01-13,9:00p,New Jersey Nets,110,Phoenix Suns,103,None,US Airways Center,2012,33.446° N,112.071° W
167,2012-01-13,10:30p,Miami Heat,104,Denver Nuggets,117,None,Pepsi Center,2012,39.749° N,105.008° W
168,2012-01-13,10:30p,Cleveland Cavaliers,92,Los Angeles Lakers,97,None,STAPLES Center,2012,34.043° N,118.267° W
169,2012-01-14,7:00p,Minnesota Timberwolves,91,Atlanta Hawks,93,None,Philips Arena,2012,33.757° N,84.396° W
170,2012-01-14,7:00p,Golden State Warriors,100,Charlotte Bobcats,112,None,Time Warner Cable Arena,2012,34.043° N,118.267° W
171,2012-01-14,7:00p,Boston Celtics,83,Indiana Pacers,97,None,Bankers Life Fieldhouse,2012,39.764° N,86.156° W
172,2012-01-14,7:00p,Philadelphia 76ers,103,Washington Wizards,90,None,Verizon Center,2012,38.898° N,77.021° W
173,2012-01-14,8:00p,Toronto Raptors,64,Chicago Bulls,77,None,United Center,2012,41.881° N,87.675° W
174,2012-01-14,8:00p,Portland Trail Blazers,105,Houston Rockets,107,OT,Toyota Center,2012,29.751° N,95.362° W
175,2012-01-14,8:00p,New Orleans Hornets,99,Memphis Grizzlies,108,None,FedEx Forum,2012,35.156° N,90.052° W
176,2012-01-14,8:00p,New York Knicks,92,Oklahoma City Thunder,104,None,Chesapeake Energy Arena,2012,35.463° N,97.515° W
177,2012-01-14,9:00p,Sacramento Kings,60,Dallas Mavericks,99,None,American Airlines Center,2012,32.791° N,96.81° W
178,2012-01-14,9:00p,New Jersey Nets,94,Utah Jazz,107,None,EnergySolutions Arena,2012,40.768° N,111.901° W
179,2012-01-14,10:30p,Los Angeles Lakers,94,Los Angeles Clippers,102,None,STAPLES Center,2012,34.043° N,118.267° W
180,2012-01-15,6:00p,Golden State Warriors,99,Detroit Pistons,91,None,The Palace of Auburn Hills,2012,42.341° N,83.055° W
181,2012-01-15,8:00p,Utah Jazz,106,Denver Nuggets,96,None,Pepsi Center,2012,39.749° N,105.008° W
182,2012-01-15,9:00p,Phoenix Suns,91,San Antonio Spurs,102,None,AT&T Center,2012,29.427° N,98.438° W
183,2012-01-16,1:00p,Chicago Bulls,86,Memphis Grizzlies,102,None,FedEx Forum,2012,35.156° N,90.052° W
184,2012-01-16,1:00p,Orlando Magic,102,New York Knicks,93,None,Madison Square Garden (IV),2012,40.751° N,73.993° W
185,2012-01-16,2:00p,Cleveland Cavaliers,102,Charlotte Bobcats,94,None,Time Warner Cable Arena,2012,34.043° N,118.267° W
186,2012-01-16,2:00p,Milwaukee Bucks,82,Philadelphia 76ers,94,None,Wells Fargo Center,2012,39.901° N,75.172° W
187,2012-01-16,2:00p,Houston Rockets,114,Washington Wizards,106,None,Verizon Center,2012,38.898° N,77.021° W
188,2012-01-16,3:00p,Portland Trail Blazers,84,New Orleans Hornets,77,None,New Orleans Arena,2012,34.043° N,118.267° W
189,2012-01-16,3:30p,New Jersey Nets,91,Los Angeles Clippers,101,None,STAPLES Center,2012,34.043° N,118.267° W
190,2012-01-16,4:00p,Toronto Raptors,84,Atlanta Hawks,93,None,Philips Arena,2012,33.757° N,84.396° W
191,2012-01-16,8:00p,Oklahoma City Thunder,97,Boston Celtics,88,None,TD Garden,2012,42.366° N,71.062° W
192,2012-01-16,8:00p,Sacramento Kings,86,Minnesota Timberwolves,99,None,Target Center,2012,44.98° N,93.276° W
193,2012-01-16,10:30p,Dallas Mavericks,70,Los Angeles Lakers,73,None,STAPLES Center,2012,34.043° N,118.267° W
194,2012-01-17,7:00p,Golden State Warriors,105,Cleveland Cavaliers,95,None,Quicken Loans Arena,2012,41.497° N,81.688° W
195,2012-01-17,7:00p,Charlotte Bobcats,89,Orlando Magic,96,None,Amway Center,2012,28.539° N,81.384° W
